"schemaname","schemeid"
"IDFC Tax Advtg (ELSS) Dir-G",118473
"Nippon Ind Small Cap Dir-G",118778
"Nippon Ind Tax Saver (ELSS) Dir-G",118803
"Mirae Asset Emrgng Bluechip Dir-G",118834
"HDFC Index Sensex Dir-G",119065
"L&T Ind Value Dir-G",119404
"ABSL Tax Relief 96 Dir-G",119544
"Kotak Flexicap Dir-G",120166
"ICICI Pru US Bluechip Eqt Dir-G",120186
"Invesco Ind Tax Plan Dir-G",120416
"Axis LT Eqt Dir-G",120503
"ICICI Pru Tech Dir-G",120594
"ICICI Pru Nifty Index Dir-G",120620
"ICICI Pru Nifty Next 50 Index Dir-G",120684
"Quant Tax Plan Dir-G",120847
"Parag Parikh Flexi Cap Dir-G",122639
"SBI Small Cap Dir-G",125497
"ABSL Banking & Fin Srvcs Dir-G",125597
"L&T Emrgng Businesses Dir-G",129220
"Mirae Asset Hybrid Eqt Dir-G",134813
"Mirae Asset Tax Saver Dir-G",135781
"Axis Flexi Cap Dir-G",141925
"Mirae Asset Focused Dir-G",147206
"Mirae Asset Midcap Dir-G",147445
"Motilal Oswal Nifty 500 Dir-G",147625
"Axis Nifty 100 Index Dir-G",147666
"Motilal Oswal S&P 500 Index Fund Dir-G",148381
"Sundaram Large Cap Fund Dir-G",148507
